P(bar),alt(km),T(K),H2O,CH4,CO,N2O,O3,O2,CO2,N2,MMW
0.00010477,64.08,216.94,4.7770108565445166e-06,1.5521446141810885e-08,2.766633279793484e-07,6.089925889835386e-11,1.4460627902743664e-06,0.2203348053695159,0.0005075202481190408,0.7245275551785769,28.845943219195277
0.00011500999999999998,63.49,222.233,4.779798504206641e-06,1.5550834302979445e-08,2.2550092460571765e-07,6.305033933166717e-11,1.314791249750664e-06,0.22696533096685076,0.0005242867569993505,0.746885485593054,28.845462789989575
0.00012624,62.88,226.32299999999998,4.7832072961809936e-06,1.559487653543681e-08,1.835061011620553e-07,6.633221115163218e-11,1.297057388327587e-06,0.2312243430793509,0.0005354285300137615,0.7613849294174337,28.845052334635486
0.00013857,62.26,229.753,4.786328021227936e-06,1.5654538396847084e-08,1.498236089459927e-07,7.079872086856216e-11,1.3366356643726814e-06,0.23340334726475898,0.000541595697138274,0.7689765251739792,28.844703008788684
0.00015211,61.63,233.171,4.789784824356858e-06,1.5734428958048815e-08,1.2280293115492548e-07,7.660595808053146e-11,1.408170258982038e-06,0.23413199964485468,0.000544256290730914,0.7717373388097256,28.844402155760978
0.00016697,61.0,236.597,4.793414467642225e-06,1.5835145691187758e-08,1.0123373858962131e-07,8.385156680678675e-11,1.4998015793724422e-06,0.23368542974756748,0.0005440487765578076,0.7705738365997521,28.844144206518834
0.00018328,60.35,239.977,4.796715161774626e-06,1.596306551217438e-08,8.359911736661023e-08,9.290398464748542e-11,1.60810566284797e-06,0.23233798514841936,0.0005416492849438097,0.7664045707011926,28.84391400048427
0.00020118,59.7,243.267,4.80026025814424e-06,1.6120625350823893e-08,6.93186716711815e-08,1.0401090514997514e-10,1.7294562849675314e-06,0.23305648287432124,0.0005431958000398459,0.7682657277805894,28.844355882273664
0.00022083000000000004,59.03,246.40400000000002,4.803708059181679e-06,1.6316110768508024e-08,5.75671880821797e-08,1.1775610527815495e-10,1.8636683101258681e-06,0.23437753868701627,0.0005457078643027078,0.7717340728491152,28.845118125534448
0.00024240999999999998,58.36,249.35,4.806924806537758e-06,1.6554075388839687e-08,4.8240199783077296e-08,1.3409504801794663e-10,2.0037791854500853e-06,0.23425820869515873,0.0005449486216393179,0.7705884737362158,28.84576668836195
0.00026608000000000003,57.68,252.14700000000002,4.809709453502724e-06,1.683932566184844e-08,4.063109327101232e-08,1.5394541991141282e-10,2.1497255933039026e-06,0.23281789908453124,0.0005411808880014874,0.7651983319798589,28.84633295458501
0.00029208,56.99,254.78900000000002,4.812359669234896e-06,1.719038322405222e-08,3.4371078864027084e-08,1.7803837749690213e-10,2.300420255852756e-06,0.23415852569921594,0.0005440181029133317,0.7694750232422805,28.84644467455675
0.00032061,56.3,257.21299999999997,4.815009884967068e-06,1.7609979376688674e-08,2.92770313494524e-08,2.072001393988087e-10,2.455650421836531e-06,0.23516078025933843,0.000546139403544363,0.7728021749761805,28.846415533461506
0.00035193,55.6,259.392,4.817093569075335e-06,1.8121415533441654e-08,2.5060222312859714e-08,2.4292001163184244e-10,2.6184551102761806e-06,0.23457387048400116,0.000544598515763256,0.7709022781519802,28.84639045283628
0.00038631,54.89,261.382,4.8184378814032495e-06,1.87427865650107e-08,2.1595780075789407e-08,2.8686920914080084e-10,2.7906149001500636e-06,0.2324833789629283,0.0005395992265799893,0.7640658757214045,28.84636093048113
0.00042404,54.18,263.23900000000003,4.819119639798119e-06,1.9481006077653654e-08,1.8789005303141828e-08,3.4043962864234745e-10,2.9676867689078735e-06,0.23468331700579123,0.0005450510187851904,0.7718989729477483,28.84584485479021
0.00046547,53.47,264.855,4.819494126803753e-06,2.035476641421578e-08,1.6480671668077403e-08,4.053423876852981e-10,3.1560299312111782e-06,0.23492844008486166,0.0005459095698825043,0.7732096991833082,28.84541406487749
0.00051094,52.75,266.222,4.818802766177968e-06,2.1401366907223964e-08,1.4554570838249813e-08,4.854128306794812e-10,3.359813104082441e-06,0.23347605128342022,0.0005427816502543491,0.7688603719935494,28.845044380925703
0.00056085,52.02,267.433,4.817506465004624e-06,2.266007001196966e-08,1.2947520134247088e-08,5.848900224989191e-10,3.5798749280732916e-06,0.2331073797903075,0.0005421192403916602,0.7678465775105868,28.844874676463924
0.00061563,51.3,268.481,4.815067498352551e-06,2.413821610052911e-08,1.1642043495806343e-08,7.058465513406015e-10,3.8113591011556934e-06,0.2347890395920009,0.0005461637507952181,0.7733029492805916,28.84495053062736
0.00067577,50.57,269.35,4.811821944303729e-06,2.5914586142976215e-08,1.0548520101066692e-08,8.572487670488012e-10,4.060911741310609e-06,0.23445892805146934,0.0005455088380799976,0.7721455429081547,28.84501508542003
0.00074179,49.84,270.06,4.807280089081564e-06,2.8025113821219017e-08,9.660676492497855e-09,1.0446478260061654e-09,4.328866208171308e-06,0.23244588809073677,0.0005409200172870393,0.7654570876663211,28.8450701766842
0.00081425,49.1,270.56,4.801096252373161e-06,3.054951899013194e-08,8.936614935879836e-09,1.279634261074225e-09,4.621476397406231e-06,0.2345155929659849,0.0005447869262540491,0.7716886081649492,28.845569633439975
0.00089379,48.37,270.756,4.792684698092787e-06,3.3545244328869646e-08,8.381951669382601e-09,1.573148427390197e-09,4.947691012129401e-06,0.23534712698874746,0.0005457312020796398,0.7738384488378183,28.84606970063608
0.0009811,47.63,270.725,4.7828712180990164e-06,3.7181118395185304e-08,7.95183147166476e-09,1.9495942881297128e-09,5.307159984868962e-06,0.23402039825797613,0.0005418238307095445,0.7689826297945962,28.846494117021095
0.0010769,46.9,270.564,4.770513146913123e-06,4.143494936652296e-08,7.642953309121098e-09,2.4167598927124948e-09,5.6822063894594914e-06,0.23314952622606278,0.0005393954954855,0.7659707472801885,28.846625432545252
0.0011821,46.17,270.168,4.756004176002566e-06,4.646028758433756e-08,7.436377314731681e-09,3.0005819337509e-09,6.07818225699305e-06,0.23543633539302863,0.0005450122822907983,0.7739823414707317,28.846202802107417
0.0012976,45.44,269.487,4.738384082275982e-06,5.2344961454052945e-08,7.318974038093875e-09,3.7303066727788926e-09,6.4978218114249965e-06,0.2352488910394907,0.0005448465084064098,0.7737760474317659,28.845856429085398
0.0014244000000000001,44.71,268.534,4.718104170586311e-06,5.920061291375859e-08,7.278226437754443e-09,4.637386750611456e-09,6.932365475214494e-06,0.2329619822399934,0.0005397722046282812,0.7665937914259946,28.845567686425365
0.0015634999999999998,43.98,267.257,4.6944346713841155e-06,6.712172791564513e-08,7.301856461118441e-09,5.762992265748238e-09,7.381876880510534e-06,0.23459172548390328,0.000544915884802433,0.7726085643834052,28.84502309498738
